epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67944,1.33423,2.87058,1.64245,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,3.27823,1.20336,2.71842,1.51742,0.56597,0.85,0.8486,0.63183,1.64705,1.06023,1.37395,7.973e-07,7.973e-07,7.973e-07
3,4.84998,1.14057,3.63212,1.55556,0.55939,0.85,0.8513,0.61616,1.66839,1.06055,1.37969,8.092e-07,8.092e-07,8.092e-07
